Practice ID,Provider ID,Observation Month,Keystrokes,Mouseclicks
4,50,5,149405,12297
4,50,6,175922,13524
4,51,2,63010,3841
4,51,3,135727,7830
4,51,4,203463,10195
4,51,5,215961,10925
4,51,6,164197,10307
5,1,1,35010,11663
5,1,2,27348,8987
5,1,3,36912,12507
5,1,4,36897,10488
5,1,5,21203,6780
5,1,6,19693,6931
5,2,1,90152,15853
5,2,2,76644,15225
5,2,3,73079,13297
5,2,4,75347,12574
5,2,5,77589,14797
5,2,6,43839,7566
5,3,1,184754,23803
5,3,2,142238,19749
5,3,3,118030,14777
5,3,4,165343,21891
5,3,5,153869,18562
5,3,6,119755,14332
5,4,1,116687,14825
5,4,2,108570,13385
5,4,3,74651,9755
5,4,4,103102,13550
5,4,5,114179,13639
5,4,6,61140,9729
5,5,1,34768,6261
5,5,2,46304,6999
5,5,3,53302,7466
5,5,4,39920,5036
5,5,5,59909,7121
5,5,6,59831,7699
5,6,1,154855,18711
5,6,2,124718,17398
5,6,3,146502,18718
5,6,4,99673,12081
5,6,5,127972,14742
5,6,6,134952,16764
5,7,1,124547,15907
5,7,2,93221,13188
5,7,3,84852,11759
5,7,4,102620,14941
5,7,5,101669,13492
5,7,6,73851,11535
5,8,1,40341,18682
5,8,2,23508,11212
5,8,3,27598,12289
5,8,4,24539,10453
5,8,5,27888,11802
5,8,6,23806,12514
5,9,1,72352,20958
5,9,2,81094,22470
5,9,3,84007,23988
5,9,4,79672,20711
5,9,5,92072,25361
5,9,6,69314,18718
5,10,1,110084,14325
5,10,2,61871,8072
5,10,3,63633,7969
5,10,4,21467,2798
5,11,1,292366,32566
5,11,2,255469,28602
5,11,3,331574,33496
5,11,4,264349,27823
5,11,5,262248,26036
5,11,6,111453,11458
5,12,1,48427,6429
5,12,2,44795,6913
5,12,3,47836,6988
5,12,4,58469,8817
5,12,5,57232,6504
5,12,6,46571,6464
5,13,1,151661,16985
5,13,2,172042,21174
5,13,3,175117,19648
5,13,4,201700,21480
5,13,5,217199,23771
5,13,6,126954,14867
5,14,1,91473,8562
5,14,2,94062,8802
5,14,3,89902,8208
5,14,4,59814,6057
5,14,5,79375,7533
5,14,6,62647,5961
5,15,1,38500,4337
5,15,2,43314,3729
5,15,3,44825,5651
5,15,4,39990,3659
5,15,5,31316,3479
5,15,6,20368,1768
5,16,1,210653,12223
5,16,2,194786,11210
5,16,3,218831,12776
5,16,4,223071,11813
5,16,5,132869,6550
5,16,6,71945,3816
5,17,1,128886,15569
5,17,2,134054,15962
5,17,3,141287,16979
5,17,4,166714,18254
5,17,5,161816,16782
5,17,6,113443,14574
5,18,1,122358,18725
5,18,2,119275,18888
5,18,3,102105,15511
5,18,4,109554,16592
5,18,5,100735,14554
5,18,6,86133,13292
5,19,1,111175,12413
5,19,2,101025,12742
5,19,3,103059,12695
5,19,4,102751,12904
5,19,5,141103,15032
5,19,6,121826,13677
5,20,1,139624,17207
5,20,2,132107,17015
5,20,3,144155,17928
5,20,4,127916,17555
5,20,5,112339,16116
5,20,6,97458,13332
5,21,1,144171,14351
5,21,2,102335,10368
5,21,3,134854,11560
5,21,4,114952,9824
5,21,5,123420,9912
5,21,6,72863,6639
5,22,5,30728,7172
5,22,6,61962,16385
5,23,4,75053,5607
5,23,5,158873,13191
5,23,6,127026,11787
6,1,1,4068,410
6,1,2,6424,832
6,1,3,5710,603
6,1,4,9116,908
6,1,5,7711,929
6,1,6,9788,1010
6,2,1,65050,4884
6,2,2,92812,6378
6,2,3,96141,6816
6,2,4,77931,6023
6,2,5,94990,8107
6,2,6,40617,3267
6,3,1,10379,620
6,3,2,7383,523
6,3,3,22895,767
6,3,4,30827,1619
6,3,5,17356,689
6,3,6,15544,577
6,4,1,41976,3382
6,4,2,31947,2879
6,4,3,32090,2445
6,4,4,36219,2933
6,4,5,45113,3664
6,4,6,28573,2630
6,5,1,15297,2011
6,5,2,13279,1586
6,5,3,16365,1924
6,5,4,10153,1335
6,5,5,18858,2065
6,5,6,11881,1350
6,6,1,15054,631
6,6,2,19605,1042
6,6,3,26417,1662
6,6,4,32736,1749
6,6,5,33169,1674
6,6,6,33825,1835
6,7,1,62231,8007
6,7,2,61066,7347
6,7,3,59863,7077
6,7,4,63276,8001
6,7,5,66762,8197
